YEAR;MONTH;DAY;HOUR;MINUTE;TEMPERATURE
2021;10;27;19;53;47
2021; 0; 9;13; 2;-67
2021; 7;23;22; 0;-63
2021; 4;11; 8;27;-15
2021; 2; 2;19; 7;-46
2021; 6;12;18;29;69
2021; 4; 1;10; 9;18
2021;11;14; 1;38;97
2021; 6;23;22;31;-35
2021; 9; 2; 2;16;-58
2021; 9;14;15;56;10
2021; 9;13;17;24;-72
2021; 9;14;15;14;22
2021; 2; 7; 0;36; 1
2021; 0; 3;11;14;98
2021; 0;26; 0;19;-28
2021; 6;24;11;15;71
2021;10;17; 9;17;-47
2021; 0;22;20; 1;97
2021; 1;15;17; 4;49
2021; 9;21;13;57;88
2021;11; 9; 7;27;47
2021; 9; 6; 5;46;70
2021; 8;28;15;32;46
2021;11; 0; 0;28;61
2021; 9; 6;11;38;-46
2021; 3; 1;11;59;-70
2021; 8; 1;14;13;23
2021; 4;24;10;47;91
2021; 3;17;13;39;92
2021;11;17; 4;35;97
2021; 1; 8;19;29;-10
2021; 1; 8;20; 3;-51
2021; 9;26; 4;43;20
2021; 2;26;16; 4;41
2021; 0; 9;21;17; 9
2021; 3; 0;23;50;-68
2021; 5; 4; 6; 5;97
2021;10; 9; 2;42;-89
2021; 3;15; 4; 8;-50
2021; 0;29;15;46;49
2021;10;11;10;45;-70
2021; 6;28;17; 0;19
2021; 6;12;17; 8;-46
2021; 2;14;21;42;76
2021; 0; 2;11;39;26
2021;11; 3;11;21;98
2021; 2;10; 3;19;52
2021; 4; 9;21;13;27
2021; 7;26; 2;44;75
2021; 8; 6; 6;36;23
2021; 0;19;18;47;-38
2021; 4; 9; 9;56;-8
2021;11; 6;21;13;-12
2021; 7;29; 7;21;97
2021; 7;20;11; 5;-33
2021; 2;24;10; 0;-16
2021; 5;26; 1;30;-56
2021; 0; 2; 2;25;90
2021; 7;10; 2;38;85
2021; 2;24;14;29;60
2021; 4;12;19;14;98
2021; 5; 3; 8;30;-1
2021;10;29; 4;13;95
2021; 7;14;13; 1;-11
2021; 3; 4;10;22;-29
2021; 1;12;12;48;83
2021; 0;18;18;36;78
2021; 8; 3;13;13;-17
2021; 6; 7;18; 8;-6
2021; 6;18; 5;29;53
2021; 1; 3;17;53;77
2021; 9; 2; 4;55;-47
2021; 9;16;12;14;15
2021; 8; 8;19;50;76
2021; 2;14; 9;19;-46
2021; 2;18; 3;20;-53
2021; 6;19;23;35;31
2021; 8;15;15;24;61
2021; 0; 5;13;23;65
2021; 4;28;11;29;51
2021; 4;12;11;23;87
2021;10;12;20;21;75
2021; 8;11;18; 0;-54
2021; 5;21;21;30;-69
2021; 3;17;18;30;59
2021; 5;14; 8;45;-32
2021;10;10;18; 6;27
2021; 8;18; 1; 6;53
2021;10;21; 0;11;-1
2021; 7; 2;22;54;-7
2021; 2;12;15;50;29
2021; 2; 5;17;20;-15
2021; 4;28;22;10; 2
2021; 9; 6; 4;49;-26
2021; 7;17; 6; 5;-39
2021; 2;23; 5; 9;-22
2021; 6;27;10;51;-24
2021; 7; 8;22; 5;15
2021; 5; 7; 1;33;27
2021; 7; 7; 7;29;-16
2021;10;13; 7;51;98
2021; 2; 2; 7;17;66
2021; 5; 4;11; 7;-61
2021; 1;17;20;54;37
2021; 5; 1; 4;16;-34
2021; 3;26; 4;38;-58
2021; 9; 0; 6;52; 6
2021; 1;26; 0;36;87
2021; 7;27;16;39;42
2021;10;26;16;18;34
2021; 9;14;15; 5;-47
2021; 3; 5; 6;49;53
2021; 2;15;10; 2;-28
2021; 2; 3;14;46;-49
2021; 9;23;18;14;-78
2021; 5;12;23; 8;-39
2021; 8;24;17;26;97
2021; 3;13;23;13;61
2021; 7;20;18;37;-18
2021;11;10; 2;30;84
2021; 9; 3;21;49;-84
2021; 7; 5;10;48;28
2021; 2;15;23;49; 4
2021; 2;13;21;36;63
2021; 0;26;11;30;36
2021; 6; 2; 4;19;99
2021; 8;22;11;54;-55
2021; 8;28;22;23;91
2021; 6;13; 2;19;54
2021; 8;12; 3;12;80
2021; 3; 8; 6;20;23
2021; 2;12; 3;41;-34
2021; 8;22;18;54;-30
2021; 5;15; 3;31;-44
2021;10;11; 7;13;31
2021; 3;18;14;37;69
2021; 0;24;10;51;-15
2021;11;12;11; 9;37
2021; 6;16;16;49;69
2021;10;29;21;41;-58
2021; 5; 6;19;47;29
2021;11; 2; 2; 1;69
2021; 7;20;22;30;-84
2021; 9;14; 5; 1;-84
2021; 5; 2; 5;27;-47
2021; 9; 4;10;52;21
2021; 4;24;21;46;-64
2021; 8;15; 7;42;-52
2021; 4; 4;17;49;-15
2021; 2;21;18;43;14
2021; 3;25;22; 5;29
2021; 3;24; 4;16;41
2021; 9;18; 7; 5;-63
2021; 0; 8;11;17;-88
2021; 9; 0;19;28;-47
2021;10;27; 5;48;-59
2021;10;27; 9;27;36
2021; 7;21;21;50;15
2021; 2;18;10;53;-24
2021; 0;19;16;31;-11
2021;11;27;22;52;-70
2021; 7;18; 2;44;-27
2021; 5;16; 4;14;59
2021; 5;28;21;55;86
2021; 1;20; 5;17; 2
2021; 7;12; 5;53;74
2021;10;21;23; 5;72
2021; 5; 2; 4; 1;32
2021;10; 2; 2;59;12
2021; 5;15;18;51; 0
2021; 7; 1;20;17;-86
2021; 4;21; 8;27;-35
2021; 5; 0; 0;25; 5
2021; 1;11;11;31;-20
2021; 2;18; 3;24;60
2021; 2;14; 3;39;20
2021; 2;29; 4;50;61
2021; 0;29;22; 5; 6
2021; 2;23;15;49;44
2021; 1;13; 6;29;46
2021; 1;14;15;28;-54
2021; 5;23;14; 9;31
2021; 1;28;20;40;96
2021;10;21;22;17;-31
2021; 9;11;14;43; 8
2021; 2;15; 4;22;61
2021; 3;29; 4; 9;-74
2021; 0;13;11;33;76
2021; 4; 1; 3; 6;-86
2021; 4; 2;17;42;-11
2021; 2;14;23;58;-87
2021; 5; 7;16;13;-89
2021; 9;23;21;36;48
2021; 5;26; 2; 0;99
2021; 0;25;14; 9;-68
2021; 4; 2;16;19;27
2021; 6;10;16;26;31
2021; 4; 8;19;38;26
2021; 3; 0;20; 5;57
2021; 7;18;22;21;-48
2021;11; 0;15;15;14
2021; 0;24;18;29;-87
2021;10;23; 6;53;-11
2021; 3;14;17;59;52
2021; 8;12;10;46;23
2021; 7; 6; 9;51;-86
2021;11; 2;15;53;-44
2021;10; 4;12;44; 8
2021; 7;28;17;12;-70
2021; 4; 3;15;14;-52
2021;11; 7;21;49;19
2021;10; 7;18;49;42
2021; 8;14; 7;37;-29
2021; 4;12; 5; 2;-10
2021;11;21; 0;38;-42
2021; 5; 2;19;39;84
2021; 2;13; 2; 8;-18
2021; 6; 7;20;37;85
2021; 8; 0; 6;54;-24
2021; 5;23;20;57;97
2021; 9;29; 5;56;46
2021; 9; 5;14;11;73
2021;11;11;20;32;94
2021; 1;23;20;31;-9
2021;10;18;12;30;80
2021; 9;13;18;39;-31
2021; 4;25; 5;22; 7
2021; 3;28;14;59; 8
2021; 7;18;17; 4;97
2021;11;28; 9;35;31
2021; 0;16; 2;18;-73
2021; 8;15; 0; 6;94
2021;11; 3;13; 5;-8
2021;11; 4;16;16;84
2021;10;23;21;19;-2
2021; 0; 2;20;19;-89
2021;11;15;22;47;81
2021; 2; 6;12;44;-83
2021; 0; 2;17;56;11
2021; 3;15; 8;53;-89
2021; 3; 1; 5;51;85
2021; 4;25; 2; 2;79
2021; 3;17; 7;44;-25
2021; 3; 1;13; 8;51
2021;11;23;13;43;-47
2021; 3; 3;22; 8;-48
2021; 8;28; 6;38;74
2021; 6; 5; 2;25;20
2021; 6;28; 9;12; 5
2021; 6;27; 4; 7;-80
2021; 2;12;15;17;10
2021; 9; 2;11;55;-26
2021;10;29;10;41; 5
2021; 3;15; 8;48;-72
2021; 5;25;16;21;69
2021; 9;20;17;28;52
2021; 5;19;18;16;-77
2021; 3; 5; 2;50;80
2021; 0;19; 1;12;-35
2021; 7;15; 9;28;-9
2021; 9;26; 4;42;68
2021; 3;10; 4;57;49
2021; 2; 4; 4;20;-55
2021; 1;14;11;14;-50
2021; 5;22; 7;26;18
2021; 6; 7;18;34;47
2021;11;14; 8; 4;39
2021; 7; 6;17; 3;63
2021; 9;22; 5;20;77
2021; 4;21;13;24;-84
2021; 4;12;14;50;11
2021; 6;21;20;55;-50
2021; 8;10; 6;13;17
2021; 4; 4;21;13;-60
2021; 4; 5;11;18;36
2021; 1;11; 9; 8; 8
2021; 7;29; 1;55; 0
2021; 1;26; 3;12;-49
2021; 7; 3;19;57;86
2021;11;21;20;14;62
2021; 6; 6;14; 3;-74
2021; 9;20;19;34;-48
2021; 2;27;12; 9; 6
2021; 2; 2;11;49;49
2021; 6;20; 8; 3;85
2021; 6;15;16;13;83
2021; 8; 7; 4;27;51
2021; 9;16; 5;25;22
2021; 8;29; 2;47;69
2021; 7; 1; 4;43;22
2021;11; 2; 4;31;99
2021;11;28;14;28;50
2021; 4; 8; 0;49; 3
2021; 7; 4;17;57;-81
2021; 9;26; 4;42;38
2021; 1;25;11;34;37
2021;11;11;22;53;-40
2021; 3; 3; 6;19;38
2021;11;21;10;20;85
2021;11;20; 8;20;34
2021; 0;14;23;59;-30
2021; 6;17;14;16;-1
2021; 2;24;13;37;-23
2021; 9;10; 1;23;81
2021;10;24; 1;58;-51
2021; 2;18;15;29; 6
2021; 2; 4;18; 5;22
